Comment,Designator,Footprint,LCSC,Quantity
2.2uF,"C301,C307,C308",C_0402_1005Metric,C12530,3
22uF,"C101,C102,C111",C_1206_3216Metric,C12891,3
10nF,C121,C_0402_1005Metric,C15195,1
10uF,"C108,C109,C110,C112,C113,C115",C_0805_2012Metric,C15850,6
TPS552872RYQR,U105,21-PowerVFQFN,C22427496,1
9.1k,R401,R_0603_1608Metric,C23260,1
4.7uF,C201,C_0402_1005Metric,C23733,1
16MHz,Y201,Crystal_SMD_3225-4Pin_3.2x2.5mm,C251610,1
100k,"R101,R104,R105,R107,R108,R109,R110,R115",R_0402_1005Metric,C25741,8
2.2uH,"L101,L102",L_Sunlord_MWSA0503S,C408408,2
2.2k,R402,R_0603_1608Metric,C4190,1
1uF,"C122,C123,C302,C303,C304,C305,C306",C_0402_1005Metric,C52923,7
TPS62172DSG,U104,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias,C59873,1
STM32G030F6Px,U201,TSSOP-20_4.4x6.5mm_P0.65mm,C724040,1
