Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C101,22uF,C_1206_3216Metric,106.8375,-100.9275,180.0,top
C102,22uF,C_1206_3216Metric,107.2175,-116.44,0.0,top
C108,10uF,C_0805_2012Metric,122.375,-82.59,-90.0,top
C109,10uF,C_0805_2012Metric,121.7875,-99.44,180.0,top
C110,10uF,C_0805_2012Metric,134.8875,-82.6,90.0,top
C111,22uF,C_1206_3216Metric,119.4875,-95.94,-90.0,top
C112,10uF,C_0805_2012Metric,182.0875,-101.465,-90.0,top
C113,10uF,C_0805_2012Metric,179.8875,-101.465,-90.0,top
C115,10uF,C_0805_2012Metric,190.4875,-108.965,-90.0,top
C121,10nF,C_0402_1005Metric,187.2875,-112.19,0.0,top
C122,1uF,C_0402_1005Metric,116.5875,-122.1775,-90.0,top
C123,1uF,C_0402_1005Metric,118.9125,-124.8525,180.0,top
C201,4.7uF,C_0402_1005Metric,138.1,-93.25,-90.0,top
C301,2.2uF,C_0402_1005Metric,146.13,-128.765,180.0,top
C302,1uF,C_0402_1005Metric,131.3875,-129.29,0.0,top
C303,1uF,C_0402_1005Metric,133.3975,-129.29,90.0,top
C304,1uF,C_0402_1005Metric,134.8975,-129.29,90.0,top
C305,1uF,C_0402_1005Metric,136.3975,-129.29,90.0,top
C306,1uF,C_0402_1005Metric,137.8975,-129.29,90.0,top
C307,2.2uF,C_0402_1005Metric,140.1025,-128.79,0.0,top
C308,2.2uF,C_0402_1005Metric,143.1625,-128.79,0.0,top
L101,2.2uH,L_Sunlord_MWSA0503S,120.0875,-90.54,180.0,top
L102,2.2uH,L_Sunlord_MWSA0503S,194.2875,-103.365,-90.0,top
R101,100k,R_0402_1005Metric,143.39625,-83.6525,180.0,top
R104,100k,R_0402_1005Metric,143.56375,-71.9825,0.0,top
R105,100k,R_0402_1005Metric,120.6,-82.54,-90.0,top
R107,100k,R_0402_1005Metric,136.4875,-82.6,90.0,top
R108,100k,R_0402_1005Metric,144.15375,-70.145,-90.0,top
R109,100k,R_0402_1005Metric,124.0875,-93.24,90.0,top
R110,100k,R_0402_1005Metric,150.93375,-72.615,180.0,top
R115,100k,R_0402_1005Metric,184.4875,-107.365,0.0,top
R401,9.1k,R_0603_1608Metric,116.2875,-105.09,0.0,top
R402,2.2k,R_0603_1608Metric,119.4875,-105.09,0.0,top
U104,TPS62172DSG,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias,122.3625,-96.175,90.0,top
U105,TPS552872RYQR,21-PowerVFQFN,186.9375,-103.365,-90.0,top
U201,STM32G030F6Px,TSSOP-20_4.4x6.5mm_P0.65mm,144.5875,-93.65,0.0,top
Y201,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,136.5,-88.55,0.0,top
